Edition,Drama by Points,Drama by Position,Drama by Path
2003,0.1213,0.2993,0.0828
2004,0.1979,0.4470,0.3495
2005,0.1986,0.5183,0.2225
2006,0.1298,0.4458,0.1334
2007,0.1854,0.4125,0.2245
2008,0.2725,0.5103,0.6004
2009,0.3076,0.5409,0.7349
2010,0.1851,0.3821,0.2088
2011,0.1392,0.2953,0.1374
2012,0.1738,0.3480,0.2923
2013,0.1610,0.3254,0.1396
2014,0.0927,0.3316,0.0607
